player_id,first_name,last_name,games,mpg,fgPerc,tpPerc,ftPerc,orpg,rpg,apg,topg,spg,bpg,ppg,fpg,rating
48339430,Siu,Siong Heng,3,33.2,32.4,28.6,100.0,1.0,2.3,4.3,2.3,1.0,0.3,9.3,4.0,11.6
48512165,Ragip,Konca,3,19.3,40.9,40.0,83.3,0.3,0.7,5.0,0.0,1.0,1.3,8.3,1.0,11.3
49041724,Jozef,Mokroš,3,34.3,50.0,36.8,100.0,0.7,2.7,3.7,0.7,1.7,0.7,24.3,3.7,13.6
51041907,Régis,Leite,3,38.0,28.9,10.0,83.3,3.0,13.3,7.3,2.3,0.3,1.3,9.3,1.3,11.9
51099125,Antanas,Galinauskas,3,38.5,46.8,25.0,100.0,1.3,7.7,1.7,2.0,1.0,0.3,16.3,2.7,10.1
51209573,Arkadiy,Dyak,3,49.2,38.5,42.9,66.7,4.0,15.0,6.3,2.7,2.0,1.0,21.3,3.0,9.7
51240086,Benjamin,Pomme,3,18.9,38.1,25.0,33.3,0.7,2.0,0.3,0.0,0.7,0.3,6.3,3.7,7.6
51792867,Jenő,Bancsó,3,16.9,77.8,66.7,100.0,0.3,3.0,0.7,0.3,0.3,0.7,10.7,0.7,11.5
